ent_num,sdn_name,sdn_type,programs,remarks,title,call_sign,vessel_type,tonnage,gross_registered_tonnage,flag,vessel_owner
21115,MARSHAL ZHUKOV,vessel,UKRAINE-EO13685,-0- ,-0- ,-0- ,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9690224; Linked To: TRANS-FLOT JSC."
21118,STALINGRAD,vessel,UKRAINE-EO13685,-0- ,-0- ,-0- ,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9690212; Linked To: TRANS-FLOT JSC."
27147,YAZ,vessel,UKRAINE-EO13685,-0- ,-0- ,-0- ,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9735323; Linked To: TRANSPETROCHART CO LTD."
27148,SIG,vessel,UKRAINE-EO13685,-0- ,-0- ,-0- ,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9735335; Linked To: TRANSPETROCHART CO LTD."
27149,SUDAK,vessel,UKRAINE-EO13685,-0- ,-0- ,-0- ,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 8943155; Linked To: TRANSPETROCHART CO LTD."
27151,PASSAT,vessel,UKRAINE-EO13685,-0- ,-0- ,-0- ,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 8523242; Linked To: TRANSPETROCHART CO LTD."
27152,OT-2077,vessel,UKRAINE-EO13685,-0- ,-0- ,-0- ,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9025778; Linked To: TRANSPETROCHART CO LTD."
27200,ST. VITAMIN,vessel,UKRAINE-EO13661] [CYBER2] [ELECTION-EO13848,-0- ,-0- ,Pleasure Craft,-0- ,-0- ,St. Vincent and the Grenadines,Beratex Group Limited,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; MMSI 375311000; Linked To: BERATEX GROUP LIMITED."
34942,PEGAS,vessel,RUSSIA-EO14024,-0- ,-0- ,Crude Oil Tanker,-0- ,61991,Russia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9256860 (Russia); f.k.a. 'PERUN'; Linked To: PSB LIZING OOO.
36276,SEA RHAPSODY,vessel,UKRAINE-EO13661,-0- ,V7VR9,Yacht,-0- ,1503,Marshall Islands,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 1010648; MMSI 538071180; Linked To: KOSTIN, Andrey Leonidovich."
37454,MADAME GU,vessel,UKRAINE-EO13661] [RUSSIA-EO14024,-0- ,ZGCW7,Yacht,-0- ,2991,Cayman Islands,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 1011331; Linked To: SKOCH, Andrei Vladimirovich."
37479,SHELLEST,vessel,RUSSIA-EO14024,-0- ,UBAO8,Yacht,-0- ,-0- ,Russia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification RS 150443 (Russia); MMSI 273385420; Linked To: NON-PROFIT PARTNERSHIP REVIVAL OF MARITIME TRADITIONS.
37482,NEGA,vessel,RUSSIA-EO14024,-0- ,J8Y4483,Yacht,-0- ,-0- ,Russia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification RS 130280 (Russia); MMSI 273337970; Linked To: LIMITED LIABILITY CORPORATION GELIOS.
46957,ANATOLY KOLODKIN,vessel,RUSSIA-EO14024,-0- ,3E7525,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9610808; MMSI 352003372; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
46972,NS ANTARCTIC,vessel,RUSSIA-EO14024,-0- ,TRBF3,Crude Oil Tanker,-0- ,-0- ,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9413559; MMSI 626372000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
46976,NS LION,vessel,RUSSIA-EO14024,-0- ,TRBH8,Crude Oil Tanker,-0- ,-0- ,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9339313; MMSI 626393000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
46991,GEORGY MASLOV,vessel,RUSSIA-EO14024,-0- ,TRBD9,Crude Oil Tanker,-0- ,-0- ,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9610793; MMSI 626362000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
47003,NS CONSUL,vessel,RUSSIA-EO14024,-0- ,TRBH3,Crude Oil Tanker,-0- ,-0- ,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9341093; MMSI 626388000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
47006,NS BURGAS,vessel,RUSSIA-EO14024,-0- ,TRBF9,Crude Oil Tanker,-0- ,-0- ,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9411020; MMSI 626378000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
47007,NS CAPTAIN,vessel,RUSSIA-EO14024,-0- ,TRBG2,Crude Oil Tanker,-0- ,-0- ,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9341067; MMSI 626379000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
