ent_num,sdn_name,sdn_type,programs,remarks,title,call_sign,vessel_type,tonnage,gross_registered_tonnage,flag,vessel_owner
4238,MAR AZUL,vessel,CUBA,-0- ,CL2192,Tug,-0- ,212,Cuba,Samir de Navegacion S.A.,-0- 
4243,EBANO,vessel,CUBA,-0- ,-0- ,General Cargo,2595,1865,Panama,-0- ,Vessel Registration Identification IMO 7406784; f.k.a. 'ANA I'; f.k.a. 'SAND SWAN'.
4249,TIFON,vessel,CUBA,-0- ,CL2059,Tug,-0- ,189,Cuba,-0- ,Vessel Registration Identification IMO 7206512.
15036,ARTAVIL,vessel,IRAN,-0- ,T2EU4,Crude/Oil Products Tanker,"99,144","56,068",Iran,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag None Identified; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187629; MMSI 572469210; f.k.a. 'ALPHA'; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15037,ARK III,vessel,IRAN,-0- ,-0- ,Crude/Oil Products Tanker,"99,030","56,068",Iran,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187655; f.k.a. 'ABADEH'; f.k.a. 'CRYSTAL'; f.k.a. 'SUNDIAL'; f.k.a. 'ARK'; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15038,ARGO I,vessel,IRAN,-0- ,T2EM4,Crude/Oil Products Tanker,"99,094","56,068",Iran,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187667; a.k.a. 'CHRISTINA'; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15039,ARNICA,vessel,IRAN,-0- ,T2ES4,Crude/Oil Products Tanker,"99,144","56,068",Iran,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187643; MMSI 572467210; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15040,APAMA,vessel,IRAN,-0- ,9HDS9,Crude/Oil Products Tanker,"99,087","56,068",Iran,-0- ,Former Vessel Flag Tuvalu; alt. Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187631; MMSI 256845000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15041,BANEH,vessel,IRAN,-0- ,EQKF,Landing Craft,640,478,Iran,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 8508462; MMSI 422141000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15042,DIAMOND II,vessel,IRAN,-0- ,9HEG9,Crude Oil Tanker,"297,013","160,576",Iran,-0- ,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9218478; MMSI 256865000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15043,DREAM II,vessel,IRAN,-0- ,5IM 592,Crude Oil Tanker,"319,988","164,241",Iran,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9356593; MMSI 677049200; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15044,DEEP SEA,vessel,IRAN,-0- ,9HEE9,Crude Oil Tanker,"296,803","160,576",Iran,-0- ,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9218492; MMSI 256862000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15045,DORE,vessel,IRAN,-0- ,5IM 593,Crude Oil Tanker,"317,850","164,241",Iran,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9357717; MMSI 677049300; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15046,DOVER,vessel,IRAN,-0- ,9HEU9,Crude Oil Tanker,"299,500","160,576",Iran,-0- ,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9218466; MMSI 256872000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15047,DEVON,vessel,IRAN,-0- ,9HEF9,Crude Oil Tanker,"299,500","160,576",None Identified,-0- ,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9218454; MMSI 256864000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15048,DOWNY,vessel,IRAN,-0- ,9HED9,Crude Oil Tanker,"296,894","160,576",Iran,-0- ,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9218480; MMSI 256861000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15049,FOREST,vessel,IRAN,-0- ,T2DM4,Chemical/Products Tanker,"35,124","25,214",Iran,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9283760; MMSI 572438210; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15050,HERO II,vessel,IRAN,-0- ,T2EJ4,Crude Oil Tanker,"317,355","163,650",Iran,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tuvalu; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9362073; MMSI 572459210; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15051,HENNA,vessel,IRAN,-0- ,T2EQ4,Crude Oil Tanker,"299,242","160,930",Iran,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9212929; MMSI 572465210; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15052,AMBER,vessel,IRAN,-0- ,5IM 597,Crude Oil Tanker,"317,356","163,660",Iran,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9357406; MMSI 677049700; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15053,HASNA,vessel,IRAN,-0- ,5IM600,Crude Oil Tanker,"299,229","160,930",Iran,-0- ,Former Vessel Flag Malta; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9212917; MMSI 677050000; f.k.a. 'MARINA'; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15054,HUGE,vessel,IRAN,-0- ,T2EG4,Crude Oil Tanker,"317,367","163,660",Iran,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9357183; MMSI 212256000; f.k.a. 'GLORY'; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15055,HAPPINESS I,vessel,IRAN] [SDGT,-0- ,T2ER4,Crude Oil Tanker,"299,214","160,930",Iran,-0- ,"Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; alt. Former Vessel Flag Panama; Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Vessel Registration Identification IMO 9212905; MMSI 256875000; Linked To: NATIONAL IRANIAN TANKER COMPANY; Linked To: HOKOUL SAL OFFSHORE."
15056,HELM,vessel,IRAN,-0- ,T2DZ4,Crude Oil Tanker,"317,356","163,660",Iran,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9357391; MMSI 572450210; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15057,HERBY,vessel,IRAN,-0- ,T2EH4,Crude Oil Tanker,"317,356","163,660",Iran,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9362059; MMSI 572458210; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15058,HILDA I,vessel,IRAN,-0- ,5IM 596,Crude Oil Tanker,"317,367","163,660",Iran,-0- ,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9357389; MMSI 677049600; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15059,HAWK,vessel,IRAN,-0- ,-0- ,Crude Oil Tanker,"317,367","163,660",Iran,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9362061; f.k.a. 'HONAR'; f.k.a. 'VICTORY'; f.k.a. 'JANUS'; f.k.a. 'DOVE'; f.k.a. 'HORSE'; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15060,HALTI,vessel,IRAN,-0- ,9HEK9,Crude Oil Tanker,"299,261","160,930",Iran,-0- ,Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9212890; MMSI 256870000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15061,HEDY,vessel,IRAN,-0- ,9HEJ9,Crude Oil Tanker,"299,242","160,930",Iran,-0- ,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9212888; MMSI 256869000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15062,IMICO NEKA 455,vessel,IRAN,-0- ,-0- ,Shuttle Tanker,"63,000","40,800",Iran,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9404546; Linked To: NATIONAL IRANIAN TANKER COMPANY.
15068,FORTUNE,vessel,IRAN,-0- ,9BAC,Chemical/Products Tanker,"35,155","25,214",Iran,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9283746; MMSI 422303000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
